,user_id,score,indicator
1,2000001,-0.019575005,Untarget
2,2000002,1.791155656,Target
3,2000003,2.422921814,Target
4,2000004,0.094932046,Target
5,2000005,-1.516127621,Untarget
6,2000006,-0.160663494,Untarget
7,2000007,-0.265259983,Untarget
8,2000008,-1.032435126,Untarget
9,2000009,-0.25400044,Untarget
10,2000010,5.357752671,Target
11,2000011,0.248403346,Target
12,2000012,0.035834687,Target
13,2000013,0.957256981,Target
14,2000014,1.331900056,Target
15,2000015,-0.442473878,Untarget
16,2000016,1.534893667,Target
17,2000017,0.772691017,Target
18,2000018,-0.04745481,Untarget
19,2000019,-0.196869144,Untarget
20,2000020,-0.12450137,Untarget
21,2000021,1.840582363,Target
22,2000022,0.917054937,Target
23,2000023,0.471268959,Target
24,2000024,-0.88845216,Untarget
25,2000025,0.132212971,Target
26,2000026,0.286510296,Target
27,2000027,-0.531195709,Untarget
28,2000028,-1.398980379,Untarget
29,2000029,3.367547859,Target
30,2000030,-0.733499698,Untarget
31,2000031,0.104652121,Target
32,2000032,0.523794426,Target
33,2000033,0.110436241,Target
34,2000034,-1.223726209,Untarget
35,2000035,-0.02919495,Untarget
36,2000036,1.930489158,Target
37,2000037,-0.031268566,Untarget
38,2000038,-1.15801117,Untarget
39,2000039,-0.36818751,Untarget
40,2000040,3.09033527,Target
41,2000041,1.100963157,Target
42,2000042,-1.029412167,Untarget
43,2000043,-0.482871935,Untarget
44,2000044,0.084584155,Target
45,2000045,2.341202377,Target
46,2000046,-2.744284292,Untarget
47,2000047,-2.190330632,Untarget
48,2000048,-0.183686342,Untarget
49,2000049,-0.253524972,Untarget
50,2000050,-2.509603256,Untarget
51,2000051,0.78776538,Target
52,2000052,1.576913138,Target
53,2000053,1.79481666,Target
54,2000054,2.442663539,Target
55,2000055,-3.796265693,Untarget
56,2000056,0.334605835,Target
57,2000057,0.789341114,Target
58,2000058,-1.278922846,Untarget
59,2000059,1.006531129,Target
60,2000060,-0.0955943,Untarget
61,2000061,-0.344922134,Untarget
62,2000062,-2.35314119,Untarget
63,2000063,3.35189078,Target
64,2000064,-0.031107452,Untarget
65,2000065,0.187286769,Target
66,2000066,2.180392873,Target
67,2000067,-0.557769962,Untarget
68,2000068,-0.275707954,Untarget
69,2000069,0.541179432,Target
70,2000070,-0.093483161,Untarget
71,2000071,-1.522856957,Untarget
72,2000072,0.139455048,Target
73,2000073,2.729350981,Target
74,2000074,0.844224197,Target
75,2000075,1.589417363,Target
76,2000076,-0.699131644,Untarget
77,2000077,-0.216552505,Untarget
78,2000078,-0.094387967,Untarget
79,2000079,0.042748242,Target
80,2000080,-0.628669163,Untarget
81,2000081,-1.903010029,Untarget
82,2000082,0.701101212,Target
83,2000083,-0.267438063,Untarget
84,2000084,-0.057589699,Untarget
85,2000085,0.014334424,Target
86,2000086,-0.231608053,Untarget
87,2000087,3.409130971,Target
88,2000088,0.885180597,Target
89,2000089,0.269168384,Target
90,2000090,0.219423683,Target
91,2000091,-0.469905725,Untarget
92,2000092,2.099976843,Target
93,2000093,1.485567374,Target
94,2000094,4.426733552,Target
95,2000095,0.519699737,Target
96,2000096,-2.540833919,Untarget
97,2000097,2.480719977,Target
98,2000098,-0.619965346,Untarget
99,2000099,-0.62063265,Untarget
100,2000100,0.154346378,Target
101,2000101,-0.281641723,Untarget
102,2000102,0.346227892,Target
103,2000103,-0.874504027,Untarget
104,2000104,0.471268959,Target
105,2000105,-0.596016844,Untarget
106,2000106,0.259080364,Target
107,2000107,2.461825044,Target
108,2000108,0.621792952,Target
109,2000109,-0.624357496,Untarget
110,2000110,0.391431154,Target
111,2000111,0.652074172,Target
112,2000112,1.208705207,Target
113,2000113,0.163957471,Target
114,2000114,-0.976614666,Untarget
115,2000115,0.740523081,Target
116,2000116,0.289718532,Target
117,2000117,-2.540833919,Untarget
118,2000118,1.931469381,Target
119,2000119,-0.322086633,Untarget
120,2000120,0.323239946,Target
121,2000121,-0.059635184,Untarget
122,2000122,-0.339576668,Untarget
123,2000123,-0.042418007,Untarget
124,2000124,-3.866435348,Untarget
125,2000125,0.010680635,Target
126,2000126,0.874906869,Target
127,2000127,1.518520779,Target
128,2000128,0.530100056,Target
129,2000129,-0.964025654,Untarget
130,2000130,-0.090527988,Untarget
131,2000131,-0.248333423,Untarget
132,2000132,0.242478726,Target
133,2000133,-0.231502157,Untarget
134,2000134,0.639518551,Target
135,2000135,0.557664894,Target
136,2000136,0.504268491,Target
137,2000137,0.409372735,Target
138,2000138,1.686754659,Target
139,2000139,-0.17124692,Untarget
140,2000140,-0.068623455,Untarget
141,2000141,3.642046712,Target
142,2000142,1.169215903,Target
143,2000143,2.178904954,Target
144,2000144,-0.094117308,Untarget
145,2000145,-1.524811809,Untarget
146,2000146,0.619092297,Target
147,2000147,-0.008044428,Untarget
148,2000148,-1.227107049,Untarget
149,2000149,0.423640488,Target
150,2000150,-0.848350146,Untarget
151,2000151,0.524226103,Target
152,2000152,1.198913658,Target
153,2000153,0.190665593,Target
154,2000154,-0.100108018,Untarget
155,2000155,2.343845987,Target
156,2000156,-1.644748212,Untarget
157,2000157,-0.102604536,Untarget
158,2000158,-0.052684554,Untarget
159,2000159,0.107502583,Target
160,2000160,1.562467482,Target
161,2000161,-1.96910325,Untarget
162,2000162,0.053721965,Target
163,2000163,1.256617697,Target
164,2000164,0.827677073,Target
165,2000165,0.475981374,Target
166,2000166,1.379573322,Target
167,2000167,0.819630958,Target
168,2000168,-0.548385601,Untarget
169,2000169,-1.138030164,Untarget
170,2000170,0.073750972,Target
171,2000171,0.085395834,Target
172,2000172,-0.110745759,Untarget
173,2000173,-0.440152203,Untarget
174,2000174,0.353146541,Target
175,2000175,0.935284756,Target
